Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),JIS G 4801:1984,SUP 6,---,---,0.56-0.64,0.70-1.00,1.50-1.80,0.035,0.035,---,---,---,Cu 0.30
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),ISO 683-14:1992,59 Si 7,---,---,0.55-0.63,0.60-1.00,1.60-2.00,0.030,0.030,---,---,---,---
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),ASTM A 689-97 (2002),9260,---,G92600,0.56-0.64,0.75-1.00,1.80-2.20,0.035,0.040,---,---,---,---
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),JIS G 4801:1984,SUP 7,---,---,0.56-0.64,0.70-1.00,1.80-2.20,0.035,0.035,---,---,---,Cu 0.30
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),ASTM A 689-97 (2002),5155,---,G51550,0.51-0.59,0.70-0.90,0.15-0.35,0.035,0.040,0.70-0.90,---,---,---
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),JIS G 4801:1984,SUP 9,---,---,0.52-0.60,0.65-0.95,0.15-0.35,0.035,0.035,0.65-0.95,---,---,Cu 0.30
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),EN 10089:2002,55Cr3,1.7176,---,0.52-0.59,0.70-1.00,0.40,0.025,0.025,0.70-1.00,---,---,Cu+10Sn see standard
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),ISO 683-14:1992,55 Cr 3,---,---,0.52-0.59,0.70-1.00,0.15-0.40,0.030,0.030,0.70-1.00,---,---,---
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),ASTM A 689-97 (2002),5160,---,G51600,0.56-0.64,0.75-1.00,0.15-0.35,0.035,0.040,0.70-0.90,---,---,---
9.2.2.1-9.2.2.6 Chemical Composition of Hot Rolled Alloy Spring Steels (Si/Cr/Cr-Si/Cr-Mo/Cr-V/Cr-B),JIS G 4801:1984,SUP 9 A,---,---,0.56-0.64,0.70-1.00,0.15-0.35,0.035,0.035,0.70-1.00,---,---,Cu 0.30
