Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.2.3 Chemical Composition of Stainless Spring Steels,JIS G 4313:1996,SUS 420J2-CSP,---,---,0.26-0.40,1.00,1.00,0.040,0.030,12.00-14.00,---,---,---
9.2.3 Chemical Composition of Stainless Spring Steels,EN 10151:2002,X30Cr13,1.4028,---,0.26-0.35,1.50,1.00,0.040,0.015,12.0-14.0,---,---,---
9.2.3 Chemical Composition of Stainless Spring Steels,EN 10151:2002,X39Cr13,1.4031,---,0.36-0.42,1.00,1.00,0.040,0.015,12.5-14.5,---,---,---
9.2.3 Chemical Composition of Stainless Spring Steels,ASTM A 313/A 313M-03,302,---,S30200,0.12,2.00,1.00,0.045,0.030,17.0-19.0,8.0-10.0,---,N 0.10
9.2.3 Chemical Composition of Stainless Spring Steels,EN 10151:2002,X10CrNi18-8,1.4310,---,0.05-0.15,2.00,2.00,0.045,0.015,16.0-19.0,6.0-9.5,0.80,N 0.11
9.2.3 Chemical Composition of Stainless Spring Steels,EN 10270-3:2001,X10CrNi18-8,1.4310,---,0.05-0.15,2.00,2.00,0.045,0.015,16.00-19.00,6.00-9.50,0.80,N 0.11
9.2.3 Chemical Composition of Stainless Spring Steels,JIS G 4313:1996,SUS 301-CSP,---,---,0.15,0.50-2.00,0.20-1.00,0.045,0.030,16.00-18.00,6.00-8.00,---,---
9.2.3 Chemical Composition of Stainless Spring Steels,ASTM A 313/A 313M-03,304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10
9.2.3 Chemical Composition of Stainless Spring Steels,JIS G 4313:1996,SUS 304-CSP,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
9.2.3 Chemical Composition of Stainless Spring Steels,EN 10151:2002,X5CrNi18-10,1.4301,---,0.07,2.00,1.00,0.045,0.015,17.5-19.5,8.0-10.5,---,N 0.11
9.2.3 Chemical Composition of Stainless Spring Steels,ASTM A 313/A 313M-03,316,---,S31600,0.07,2.00,1.00,0.045,0.030,16.5-18.0,10.5-13.5,2.00-2.50,N 0.10
9.2.3 Chemical Composition of Stainless Spring Steels,EN 10151:2002,X5CrNiMo17-12-2,1.4401,---,0.07,2.00,1.00,0.045,0.015,16.5-18.5,10.0-13.0,2.00-2.50,N 0.11
9.2.3 Chemical Composition of Stainless Spring Steels,ASTM A 313/A 313M-03,631,---,S17700,0.09,1.00,1.00,0.040,0.030,16.0-18.0,6.5-7.8,---,Al 0.75-1.50
9.2.3 Chemical Composition of Stainless Spring Steels,EN 10151:2002,X7CrNiAl17-7,1.4568,---,0.09,1.00,0.70,0.040,0.015,16.0-18.0,6.5-7.8,---,Al 0.70-1.50
9.2.3 Chemical Composition of Stainless Spring Steels,JIS G 4313:1996,SUS 631-CSP,---,---,0.09,1.00,1.00,0.040,0.030,16.00-18.00,6.5-7.75,---,Al 0.75-1.50
