Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4401:2000,SK65,---,---,0.60-0.70,0.50,0.35,0.030,0.030,0.30,0.25,---,Cu 0.25
9.3.1 Chemical Composition of Carbon Tool Steels,ISO 4957:1999,C70U,---,---,0.65-0.75,0.10-0.40,0.10-0.30,0.030,0.030,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,SAE J438-1970,W108,---,T72301,0.70-0.85,---,---,---,---,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4401:2000,SK75,---,---,0.70-0.80,0.50,0.35,0.030,0.030,0.030,0.25,---,Cu 0.25
9.3.1 Chemical Composition of Carbon Tool Steels,ISO 4957:1999,C80U,---,---,0.75-0.85,0.10-0.40,0.10-0.30,0.030,0.030,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,ASTM A 686-92 (1999),W1-A-8,---,T72301,0.80-0.90,0.10-0.40,0.10-0.40,0.030,0.030,0.15,0.20,0.10,V 0.10; W 0.15; Cu 0.20
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4401:2000,SK85,---,---,0.80-0.90,0.50,0.35,0.030,0.030,0.30,0.25,---,Cu 0.25
9.3.1 Chemical Composition of Carbon Tool Steels,ASTM A 686-92 (1999),W1-A-8¹⁄₂,---,T72301,0.85-0.95,0.10-0.40,0.10-0.40,0.030,0.030,0.15,0.20,0.10,V 0.10; W 0.15; Cu 0.20
9.3.1 Chemical Composition of Carbon Tool Steels,SAE J438-1970,W109,---,T72301,0.85-0.95,---,---,---,---,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,ISO 4957:1999,C90U,---,---,0.85-0.95,0.10-0.40,0.10-0.30,0.030,0.030,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,ASTM A 686-92 (1999),W1-A-9,---,T72301,0.90-1.00,0.10-0.40,0.10-0.40,0.030,0.030,0.15,0.20,0.10,V 0.10; W 0.15; Cu 0.20
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4401:2000,SK95,---,---,0.90-1.00,0.50,0.35,0.030,0.030,0.30,0.25,---,Cu 0.25
9.3.1 Chemical Composition of Carbon Tool Steels,ASTM A 686-92 (1999),W1-A-10,---,T72301,1.00-1.10,0.10-0.40,0.10-0.40,0.030,0.030,0.15,0.20,0.10,V 0.10; W 0.15; Cu 0.20
9.3.1 Chemical Composition of Carbon Tool Steels,SAE J438-1970,W110,---,T72301,0.95-1.10,---,---,---,---,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4401:2000,SK105,---,---,1.00-1.10,0.50,0.35,0.030,0.030,0.30,0.25,---,Cu 0.25
9.3.1 Chemical Composition of Carbon Tool Steels,ISO 4957:1999,C105U,---,---,1.00-1.10,0.10-0.40,0.10-0.30,0.030,0.030,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,ASTM A 686-92 (1999),W1-A-11¹⁄₂,---,T72301,1.15-1.25,0.10-0.40,0.10-0.40,0.030,0.030,0.15,0.20,0.10,V 0.10; W 0.15; Cu 0.20
9.3.1 Chemical Composition of Carbon Tool Steels,SAE J438-1970,W112,---,T72301,1.10-1.30,---,---,---,---,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4401:2000,SK120,---,---,1.10-1.30,0.50,0.35,0.030,0.030,0.30,0.25,---,Cu 0.25
9.3.1 Chemical Composition of Carbon Tool Steels,ISO 4957:1999,C120U,---,---,1.15-1.25,0.10-0.40,0.10-0.30,0.030,0.030,---,---,---,---
9.3.1 Chemical Composition of Carbon Tool Steels,ASTM A 686-92 (1999),W2-A-9¹⁄₂,---,---,0.95-1.10,0.10-0.40,0.10-0.40,0.030,0.030,0.15,0.20,0.10,V 0.15-0.35; W 0.15; Cu 0.20
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4404:2000,SKS 43,---,---,1.00-1.10,0.30,0.25,0.030,0.030,0.20,0.25,---,V 0.10-0.25; Cu 0.25
9.3.1 Chemical Composition of Carbon Tool Steels,ISO 4957:1999,105V,---,---,1.00-1.10,0.10-0.40,0.10-0.30,---,---,---,---,---,V 0.10-0.20
9.3.1 Chemical Composition of Carbon Tool Steels,ASTM A 686-92 (1999),W2-A-8¹⁄₂,---,,0.85-0.95,0.10-0.40,0.10-0.40,0.030,0.030,0.15,0.20,0.10,V 0.15-0.35; W 0.15; Cu 0.20
9.3.1 Chemical Composition of Carbon Tool Steels,JIS G 4404:2000,SKS 44,---,---,0.80-0.90,0.30,0.25,0.030,0.030,0.20,0.25,---,V 0.10-0.25; Cu 0.25
