Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ASTM A 600-92a (1999),T1,---,T12001,0.65-0.80,0.10-0.40,0.20-0.40,0.03,0.03,3.75-4.50,---,---,V 0.90-1.30; W 17.25-18.75; Ni+Cu 0.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),SAE J438-1970,T1,---,T12001,0.65-0.75,0.20-0.40,0.20-0.40,---,---,3.75-4.50,---,---,V 0.90-1.30; W 17.25-18.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH2,---,---,0.73-0.83,0.40,0.40,0.030,0.030,3.80-4.50,0.25,---,V 0.80-1.20; W 17.00-19.00; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ISO 4957:1999,HS18-0-1,---,---,0.73-0.83,0.40,0.45,0.030,0.030,3.80-4.50,---,---,V 1.00-1.20; W 17.20-18.70
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ASTM A 600-92a (1999),T4,---,T12004,0.70-0.80,0.10-0.40,0.20-0.40,0.03,0.03,3.75-4.50,---,0.40-1.00,V 0.80-1.20; W 17.50-19.00; Co 4.25-5.75; Ni+Cu 0.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),SAE J438-1970,T4,---,T12004,0.70-0.80,0.20-0.40,0.20-0.40,---,---,3.75-4.50,---,0.70-1.00,V 0.80-1.20; W 17.25-18.75; Co 4.25-5.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH3,---,---,0.73-0.83,0.40,0.40,0.030,0.030,3.80-4.50,0.25,---,V 0.80-1.20; W 17.00-19.00; Co 4.50-5.50; Cu 0.25
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),ASTM A 600-92a (1999),T5,---,T12005,0.75-0.85,0.20-0.40,0.20-0.40,0.03,0.03,3.75-5.00,---,0.50-1.25,V 1.80-2.40; W 17.50-19.00; Co 7.00-9.50; Ni+Cu 0.75
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),SAE J438-1970,T5,---,T12005,0.75-0.85,0.20-0.40,0.20-0.40,---,---,3.75-4.50,---,0.70-1.00,V 1.80-2.40; W 17.50-19.00; Co 7.00-9.00
9.3.2.1-9.3.2.2 Chemical Composition of High Speed Tool Steels (Tungsten and Molybdenum Type),JIS G 4403:2000,SKH4,---,---,0.73-0.83,0.40,0.40,0.030,0.030,3.80-4.50,0.25,---,V 1.00-1.50; W 17.00-19.00; Co 9.00-11.00; Cu 0.25
