Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.3.3 Chemical Composition of Cold Work Tool Steels,ASTM A 681-94 (1999),A2,---,T30102,0.95-1.05,0.40-1.00,0.10-0.50,0.030,0.030,4.75-5.50,---,0.90-1.40,V 0.15-0.50; Ni+Cu 0.75
9.3.3 Chemical Composition of Cold Work Tool Steels,SAE J438-1970,A2,---,T30102,0.95-1.05,0.45-0.75,0.20-0.40,---,---,4.75-5.50,---,0.90-1.40,V 0.40
9.3.3 Chemical Composition of Cold Work Tool Steels,JIS G 4404:2000,SKD 12,---,---,0.95-1.05,0.60-0.90,0.40,0.030,0.030,4.50-5.50,0.50,0.80-1.20,V 0.20-0.50; Cu 0.25
9.3.3 Chemical Composition of Cold Work Tool Steels,ISO 4957:1999,X100CrMoV5,---,---,0.95-1.05,0.40-0.80,0.10-0.40,0.030,0.030,4.80-5.50,---,0.90-1.20,V 0.15-0.35
9.3.3 Chemical Composition of Cold Work Tool Steels,ASTM A 681-94 (1999),D2,---,T30402,1.40-1.60,0.10-0.60,0.10-0.60,0.030,0.030,11.00-13.00,---,0.70-1.20,V 0.50-1.10; Ni+Cu 0.75
9.3.3 Chemical Composition of Cold Work Tool Steels,SAE J438-1970,D2,---,T30402,1.40-1.60,0.30-0.50,0.10-0.60,---,---,11.00-13.00,---,0.70-1.20,V 0.80; Co 0.60
9.3.3 Chemical Composition of Cold Work Tool Steels,JIS G 4404:2000,SKD 11,---,---,1.40-1.60,0.60,0.40,0.030,0.030,11.00-13.00,0.50,0.80-1.20,V 0.20-0.50; Cu 0.25
9.3.3 Chemical Composition of Cold Work Tool Steels,ASTM A 681-94 (1999),D3,---,T30403,2.00-2.35,0.10-0.60,0.10-0.60,0.030,0.030,11.00-13.50,---,---,V 1.00; W 1.00; Ni+Cu 0.75
9.3.3 Chemical Composition of Cold Work Tool Steels,SAE J438-1970,D3,---,T30403,2.00-2.35,0.24-0.45,0.25-0.45,---,---,11.00-13.00,---,0.80,V 0.80; W 0.75
9.3.3 Chemical Composition of Cold Work Tool Steels,JIS G 4404:2000,SKD 1,---,---,1.80-2.40,0.60,0.40,0.030,0.030,12.00-15.00,---,---,Cu 0.25
9.3.3 Chemical Composition of Cold Work Tool Steels,ISO 4957:1999,X210Cr12,---,---,1.90-2.20,0.20-0.60,0.10-0.60,0.030,0.030,11.00-13.00,---,---,---
