Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,ASTM A 681-94 (1999),H10,---,T20810,0.35-0.45,0.20-0.70,0.80-1.25,0.030,0.030,3.00-3.75,---,2.00-3.00,V 0.25-0.75; Ni+Cu 0.75
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,JIS G 4404:2000,SKD 7,---,---,0.28-0.38,0.60,0.50,0.030,0.030,2.50-3.50,0.25,2.50-3.00,V 0.40-0.70; Cu 0.25
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,ISO 4957:1999,32CrMoV12-28,---,---,0.28-0.35,0.15-0.45,0.10-0.40,0.030,0.020,2.70-3.20,---,2.50-3.00,V 0.40-0.70
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,ASTM A 681-94 (1999),H11,---,T20811,0.33-0.43,0.20-0.60,0.80-1.25,0.030,0.030,4.75-5.50,---,1.10-1.60,V 0.30-0.60; Ni+Cu 0.75
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,SAE J438-1970,H11,---,T20811,0.30-0.40,0.20-0.40,0.80-1.20,---,---,4.75-5.50,---,1.25-1.75,V 0.30-0.50
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,JIS G 4404:2000,SKD 6,---,---,0.32-0.42,0.50,0.80-1.20,0.030,0.030,4.50-5.50,0.25,1.00-1.50,V 0.30-0.50; Cu 0.25
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,ISO 4957:1999,X37CrMoV5-1,---,---,0.33-0.41,0.25-0.50,0.80-1.20,0.030,0.020,4.80-5.50,---,1.10-1.50,V 0.30-0.50
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,ASTM A 681-94 (1999),H12,---,T20812,0.30-0.40,0.20-0.60,0.80-1.25,0.030,0.030,4.75-5.50,---,1.25-1.75,V 0.20-0.50; W 1.00-1.70; Ni+Cu 0.75
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,SAE J438-1970,H12,---,T20812,0.30-0.40,0.20-0.40,0.80-1.20,---,---,4.75-5.50,---,1.25-1.75,V 0.10-0.50; W 1.00-1.70
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,JIS G 4404:2000,SKD 62,---,---,0.32-0.42,0.50,0.80-1.20,0.030,0.030,4.50-5.50,0.25,1.00-1.50,V 0.20-0.60; W 1.00-1.50; Cu 0.25
9.3.4-9.3.5 Chemical Composition of Hot Work Tool Steels and Special Purpose Tool Steels,ISO 4957:1999,X35CrWMoV5,---,---,0.32-0.40,0.20-0.50,0.80-1.20,0.030,0.020,4.75-5.50,---,1.25-1.60,V 0.20-0.50; W 1.10-1.60
